,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
allegany,62813,62512,62574,61390,61481,61522,61345,61917,61180,60888
anne_arundel,513278,533106,537670,538501,542768,548755,552968,562327,567843,576194
baltimore,660553,663514,669052,669201,680074,692233,701014,687992,689814,688051
baltimore_city,280793,285394,289229,297990,303542,309611,293270,293487,294465,309996
calvert,91108,91768,93222,92699,93322,94446,95636,96383,97348,97745
caroline,36699,36667,36728,35749,36019,36356,36986,36795,37521,37958
carroll,176842,177125,177603,176281,178086,179479,179561,183558,185135,185002
cecil,94305,94563,95254,93408,94146,95147,95495,96398,97365,98044
charles,138672,140423,141965,141107,143729,146350,148272,150352,153349,154789
dorchester,31742,31672,32416,32056,32553,32439,32599,33614,33296,33573
frederick,226529,227672,230727,228442,231390,234601,238409,240963,245664,249559
garrett,33303,33202,33459,32942,33231,33472,33748,34710,33828,33114
harford,235366,237096,236024,234421,236667,239775,243840,239487,241521,242830
howard,251713,255497,258164,258498,261320,264666,268452,272062,276468,280825
kent,21453,21397,21651,21191,21397,21543,21221,21751,21778,21997
montgomery,754641,752503,755353,758413,763346,774968,787453,800392,807040,807146
prince_george_s,626009,633920,643710,640226,653111,673476,685700,696608,705861,714429
queen_anne_s,53779,53938,54159,53259,53842,54480,55564,56297,58134,57619
somerset,20570,20382,20021,19495,20125,21721,19388,20179,20354,20418
st_mary_s,104488,105942,108276,107802,108794,108860,112179,113227,114552,115280
talbot,42116,42380,42344,41680,42110,42488,42907,43207,43298,43523
washington,136894,137204,137716,135787,137007,137203,138494,141919,141244,141527
wicomico,86553,88153,87294,86735,87766,89182,88464,90719,92388,93479
worcester,57117,56627,57767,56148,56655,57230,59393,58030,58867,59145
